7上1.有理数,#genre#
1.正数和负数,https://v.leleketang.com/dat/ms/ma/k/video/18363.mp4
2.1有理数,https://vs.leleketang.com/dat/ms/ma/k/video/18364.mp4
2.2有理数,https://vs.leleketang.com/dat/ms/ma/k/video/18365.mp4
3.数轴,https://v.leleketang.com/dat/ms/ma/k/video/18366.mp4
4.相反数,https://v.leleketang.com/dat/ms/ma/k/video/18367.mp4
5.1绝对值,https://v.leleketang.com/dat/ms/ma/k/video/18369.mp4
5.2绝对值,https://v.leleketang.com/dat/ms/ma/k/video/18371.mp4
6.有理数的加法,https://vs.leleketang.com/dat/ms/ma/k/video/18372.mp4
7.有理数的减法,https://vs.leleketang.com/dat/ms/ma/k/video/18373.mp4
8.1有理数的乘法,https://v.leleketang.com/dat/ms/ma/k/video/18376.mp4
8.2有理数的乘法,https://v.leleketang.com/dat/ms/ma/k/video/18379.mp4
9.1有理数的除法,https://v.leleketang.com/dat/ms/ma/k/video/18377.mp4
9.2有理数的除法,https://v.leleketang.com/dat/ms/ma/k/video/18378.mp4
10.1有理数的乘方,https://v.leleketang.com/dat/ms/ma/k/video/18381.mp4
10.2有理数的乘方,https://v.leleketang.com/dat/ms/ma/k/video/18380.mp4
11.科学记数法,https://vs.leleketang.com/dat/ms/ma/k/video/18382.mp4
12.近似数,https://vs.leleketang.com/dat/ms/ma/k/video/18382.mp4
13.1特殊考点,https://v.leleketang.com/dat/ms/ma/k/video/27640.mp4
13.2特殊考点,https://v.leleketang.com/dat/ms/ma/k/video/27641.mp4

7上2.整式的加减,#genre#
1.用字母表示数,https://vs.leleketang.com/dat/ms/ma/k/video/27636.mp4
2.单项式,https://v.leleketang.com/dat/ms/ma/k/video/18385.mp4
3.1多项式,https://v.leleketang.com/dat/ms/ma/k/video/27645.mp4
3.2多项式,https://v.leleketang.com/dat/ms/ma/k/video/27637.mp4
3.3多项式,https://v.leleketang.com/dat/ms/ma/k/video/18386.mp4
4.合并同类项,https://v.leleketang.com/dat/ms/ma/k/video/19367.mp4
5.去括号,https://v.leleketang.com/dat/ms/ma/k/video/19368.mp4
6.1整式的加减,https://v.leleketang.com/dat/ms/ma/k/video/19396.mp4
6.2整式的加减,https://v.leleketang.com/dat/ms/ma/k/video/19377.mp4
6.3整式的加减,https://v.leleketang.com/dat/ms/ma/k/video/19369.mp4
