
西游记,#genre#
01.猴王初问世,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.01.%E7%8C%B4%E7%8E%8B%E5%88%9D%E9%97%AE%E4%B8%96.mp4
02.官封弼马温,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.02.%E5%AE%98%E5%B0%81%E5%BC%BC%E9%A9%AC%E6%B8%A9.mp4
03.大圣闹天宫,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.03.%E5%A4%A7%E5%9C%A3%E9%97%B9%E5%A4%A9%E5%AE%AB.mp4
04.困囚五行山,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.04.%E5%9B%B0%E5%9B%9A%E4%BA%94%E8%A1%8C%E5%B1%B1.mp4
05.猴王保唐僧,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.05.%E7%8C%B4%E7%8E%8B%E4%BF%9D%E5%94%90%E5%83%A7.mp4
06.祸起观音院,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.06.%E7%A5%B8%E8%B5%B7%E8%A7%82%E9%9F%B3%E9%99%A2.mp4
07.计收猪八戒,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.07.%E8%AE%A1%E6%94%B6%E7%8C%AA%E5%85%AB%E6%88%92.mp4
08.坎途逢三难,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.08.%E5%9D%8E%E9%80%94%E9%80%A2%E4%B8%89%E9%9A%BE.mp4
09.偷吃人参果,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.09.%E5%81%B7%E5%90%83%E4%BA%BA%E5%8F%82%E6%9E%9C.mp4
10.三打白骨精,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.10.%E4%B8%89%E6%89%93%E7%99%BD%E9%AA%A8%E7%B2%BE.mp4
11.智激美猴王,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.11.%E6%99%BA%E6%BF%80%E7%BE%8E%E7%8C%B4%E7%8E%8B.mp4
12.夺宝莲花洞,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.12.%E5%A4%BA%E5%AE%9D%E8%8E%B2%E8%8A%B1%E6%B4%9E.mp4
13.除妖乌鸡国,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.13.%E9%99%A4%E5%A6%96%E4%B9%8C%E9%B8%A1%E5%9B%BD.mp4
14.大战红孩儿,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.14.%E5%A4%A7%E6%88%98%E7%BA%A2%E5%AD%A9%E5%84%BF.mp4
15.斗法降三怪,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.15.%E6%96%97%E6%B3%95%E9%99%8D%E4%B8%89%E6%80%AA.mp4
16.趣经女儿国,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.16.%E8%B6%A3%E7%BB%8F%E5%A5%B3%E5%84%BF%E5%9B%BD.mp4
17.三调芭蕉扇,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.17.%E4%B8%89%E8%B0%83%E8%8A%AD%E8%95%89%E6%89%87.mp4
18.扫塔辨奇冤,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.18.%E6%89%AB%E5%A1%94%E8%BE%A8%E5%A5%87%E5%86%A4.mp4
19.误入小雷音,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.19.%E8%AF%AF%E5%85%A5%E5%B0%8F%E9%9B%B7%E9%9F%B3.mp4
20.孙猴巧行医,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.20.%E5%AD%99%E7%8C%B4%E5%B7%A7%E8%A1%8C%E5%8C%BB.mp4
21.错坠盘丝洞,https://od.xbta.tk/api/raw?path=/video/TV/%E8%A5%BF%E6%B8%B8%E8%AE%B01986-2000%E7%89%88/%E8%A5%BF%E6%B8%B8%E8%AE%B0.21.%E9%94%99%E5%9D%A0%E7%9B%98%E4%B8%9D%E6%B4%9E.mp4
